Target,PE_Firm,Entry_Transaction_ID,Entry_Date,Exit_Transaction_ID,Exit_Date,reprisk_id,Company,sectors,no_reported_risk_exposure
"Datapipe, Inc.","Millennium TVP Management Company, LLC",,,SPTRD756794,2017-11-16,157175,"Datapipe, Inc.",Software and Computer Services,True
"Datapipe, Inc.",Accel-KKR LLC,,,SPTRD756794,2017-11-16,157175,"Datapipe, Inc.",Software and Computer Services,True
"Decorative Panels International, Inc.","AS America, Inc.",SPTRD438150,2010-11-19,,,1118193,"Decorative Panels International, Inc.",Construction and Materials | Mining,False
"Decorative Panels International, Inc.","Sun Capital Partners III, L.P.",,,SPTRD438150,2010-11-19,1118193,"Decorative Panels International, Inc.",Construction and Materials | Mining,False
"Decorative Panels International, Inc.","Sun Capital Partners, Inc.",,,SPTRD438150,2010-11-19,1118193,"Decorative Panels International, Inc.",Construction and Materials | Mining,False
Del Mar Datatrac Inc.,TVC Capital,SPTRD138158,2008-01-24,SPTRD159264,2011-08-15,1302099,Del Mar Datatrac Inc.,Software and Computer Services,True
Del Mar Datatrac Inc.,"ICE Mortgage Technology, Inc. (:ELLI)",SPTRD159264,2011-08-15,,,1302099,Del Mar Datatrac Inc.,Software and Computer Services,True
Del Mar Datatrac Inc.,"Fiserv, Inc. (NYSE:FI)",,,SPTRD138158,2008-01-24,1302099,Del Mar Datatrac Inc.,Software and Computer Services,True
"Delanco Bancorp, Inc.",First Bank (NASDAQGM:FRBA),SPTRD960793,2018-04-30,,,51171,"Delanco Bancorp, Inc.",Banks,True
"Delanco Bancorp, Inc.","Delanco Bancorp, Inc. (:DLNO)",,,SPTRD960793,2018-04-30,51171,"Delanco Bancorp, Inc.",Banks,True
"Delivery Agent, Inc.",Hillair Capital Management LLC,SPTRD236632,2017-09-15,,,204272,"Delivery Agent, Inc.",Media | Retail,True
"Delivery Agent, Inc.",Bessemer Venture Partners,,,SPTRD236632,2017-09-15,204272,"Delivery Agent, Inc.",Media | Retail,True
"Delivery Agent, Inc.",Coral Capital Management LLC,,,SPTRD236632,2017-09-15,204272,"Delivery Agent, Inc.",Media | Retail,True
"Delmarva Bancshares, Inc.","BV Financial, Inc. (NASDAQCM:BVFL)",SPTRD1747556,2020-10-31,,,1254379,"Delmarva Bancshares, Inc.",Financial Services,True
"Delmarva Bancshares, Inc.","Delmarva Bancshares, Inc. (:DLMV)",,,SPTRD1747556,2020-10-31,1254379,"Delmarva Bancshares, Inc.",Financial Services,True
Dent-A-Med Inc.,"Progressive Finance Holdings, LLC",SPTRD205799,2015-10-15,,,1257924,Dent-A-Med Inc.,Financial Services,True
Dent-A-Med Inc.,Cambridge Place Investment Management LLP,,,SPTRD205799,2015-10-15,1257924,Dent-A-Med Inc.,Financial Services,True
Dent-A-Med Inc.,Harbert Management Corporation,,,SPTRD205799,2015-10-15,1257924,Dent-A-Med Inc.,Financial Services,True
"Dex Media, Inc.","Thryv Holdings, Inc. (NASDAQCM:THRY)",SPTRD128296,2006-01-31,,,50120,"Dex Media, Inc.",Software and Computer Services,True
"Dex Media, Inc.","Dex Media, Inc. (:DEX)",,,SPTRD128296,2006-01-31,50120,"Dex Media, Inc.",Software and Computer Services,True
"DFA Capital Management, Inc.",Conning & Company Inc. (:CNNG),SPTRD155498,2010-11-30,,,1308349,"DFA Capital Management, Inc.",Software and Computer Services,True
"DFA Capital Management, Inc.","DFA Capital Management, Inc.",,,SPTRD155498,2010-11-30,1308349,"DFA Capital Management, Inc.",Software and Computer Services,True
"Dianon Systems, Inc.",Labcorp Holdings Inc. (NYSE:LH),SPTRD418268,2003-01-17,,,1322464,"Dianon Systems, Inc.",Health Care Equipment and Services,True
"Dianon Systems, Inc.","Blum Capital Partners, L.P.",,,SPTRD418268,2003-01-17,1322464,"Dianon Systems, Inc.",Health Care Equipment and Services,True
"Dianon Systems, Inc.","VR Adviser, LLC",,,SPTRD418268,2003-01-17,1322464,"Dianon Systems, Inc.",Health Care Equipment and Services,True
"Digital Broadcasting Group, Inc.","Defy Media, Inc.",SPTRD170496,2013-04-24,,,1059613,"Digital Broadcasting Group, Inc.",Support Services (Industrial Goods and Services),True
"Digital Broadcasting Group, Inc.","Digital Broadcasting Group, Inc.",,,SPTRD170496,2013-04-24,1059613,"Digital Broadcasting Group, Inc.",Support Services (Industrial Goods and Services),True
"Digital Domain Media Group, Inc.","Comvest Advisors, LLC",SPTRD868159,2011-07-01,,,91006,"Digital Domain Media Group, Inc.",Media,False
"Digital Domain Media Group, Inc.","Digital Domain Media Group, Inc. (:DDMG)",,,SPTRD868159,2011-07-01,91006,"Digital Domain Media Group, Inc.",Media,False
"Digital River, Inc.","Siris Capital Group, LLC",SPTRD197840,2015-02-12,,,8921,"Digital River, Inc.",Software and Computer Services | Financial Services,False
"Digital River, Inc.","Digital River, Inc. (:DRIV)",,,SPTRD197840,2015-02-12,8921,"Digital River, Inc.",Software and Computer Services | Financial Services,False
"Digitas, Inc.","Hellman & Friedman Capital Partners III, L.P.",SPTRD1039213,1999-01-31,,,598118,"Digitas, Inc.",Support Services (Industrial Goods and Services) | Media,True
"Digitas, Inc.",Hellman & Friedman LLC,SPTRD1039213,1999-01-31,,,598118,"Digitas, Inc.",Support Services (Industrial Goods and Services) | Media,True
"Digitas, Inc.","Digitas, Inc. (:DTAS)",,,SPTRD1039213,1999-01-31,598118,"Digitas, Inc.",Support Services (Industrial Goods and Services) | Media,True
"Digium, Inc.",Sangoma Technologies US Inc.,SPTRD1475258,2018-09-05,,,233434,"Digium, Inc.",Telecommunications | Software and Computer Services,True
"Digium, Inc.",Tenaya Capital Inc.,,,SPTRD1475258,2018-09-05,233434,"Digium, Inc.",Telecommunications | Software and Computer Services,True
"Dimont & Associates, Inc.","First Eagle Alternative Capital BDC, Inc. (:FCRD)",SPTRD867927,2014-10-23,,,575738,"Dimont & Associates, Inc.",Insurance,True
"Dimont & Associates, Inc.","Dimont & Associates, Inc.",,,SPTRD867927,2014-10-23,575738,"Dimont & Associates, Inc.",Insurance,True
"Direct Response Media, Inc.","Seaport Capital, LLC",SPTRD740857,2006-04-13,,,1962367,"Direct Response Media, Inc.",Support Services (Industrial Goods and Services),True
"Direct Response Media, Inc.","Direct Response Media, Inc.",,,SPTRD740857,2006-04-13,1962367,"Direct Response Media, Inc.",Support Services (Industrial Goods and Services),True
"Directo, Inc.",Cordova Ventures,SPTRD1389161,1999-06-30,,,1257889,"Directo, Inc.",Financial Services,True
"Directo, Inc.","Brightwell Payments, Inc.",SPTRD165670,2012-07-09,,,1257889,"Directo, Inc.",Financial Services,True
"Directo, Inc.","Directo, Inc.",,,SPTRD165670,2012-07-09,1257889,"Directo, Inc.",Financial Services,True
"Discovery Education, Inc.","Clearlake Capital Group, L.P.",SPTRD1946919,2022-05-27,,,591566,"Discovery Education, Inc.",Retail,True
"Discovery Education, Inc.","Francisco Partners Management, L.P.",,,SPTRD1946919,2022-05-27,591566,"Discovery Education, Inc.",Retail,True
"Diveo Broadband Networks, Inc.",DH&C Outsourccing S.A.,SPTRD443465,2010-12-29,,,1051698,"Diveo Broadband Networks, Inc.",Telecommunications,True
"Diveo Broadband Networks, Inc.",GE Equity,,,SPTRD443465,2010-12-29,1051698,"Diveo Broadband Networks, Inc.",Telecommunications,True
"Diveo Broadband Networks, Inc.",Alta Equity Partners,,,SPTRD443465,2010-12-29,1051698,"Diveo Broadband Networks, Inc.",Telecommunications,True
"Diveo Broadband Networks, Inc.","Goldman Sachs Asset Management, L.P.",,,SPTRD443465,2010-12-29,1051698,"Diveo Broadband Networks, Inc.",Telecommunications,True
"Diveo Broadband Networks, Inc.",Norwest Equity Partners,,,SPTRD443465,2010-12-29,1051698,"Diveo Broadband Networks, Inc.",Telecommunications,True
"Divvyshot, Inc.","Meta Platforms, Inc. (NASDAQGS:META)",SPTRD151954,2010-04-04,,,1486814,"Divvyshot, Inc.",Software and Computer Services,True
"Divvyshot, Inc.","Divvyshot, Inc.",,,SPTRD151954,2010-04-04,1486814,"Divvyshot, Inc.",Software and Computer Services,True
Doma Holdings Inc.,Title Resources Guaranty Company,SPTRD2081286,2024-09-27,,,2450945,Doma Holdings Inc.,Software and Computer Services | Financial Services,True
Doma Holdings Inc.,Doma Holdings Inc. (:DOMA),,,SPTRD2081286,2024-09-27,2450945,Doma Holdings Inc.,Software and Computer Services | Financial Services,True
Dot Hill Systems Corp.,"Midsummer Capital, LLC",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Omicron Capital, L.P.",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Virtus Capital Advisers, LLC",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,Cranshire Capital L.P.,SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Midsummer Investment, Ltd.",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,Omicron Master Trust,SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Heights Capital Management, Inc.",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Downsview Capital, Inc.",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,"Capital Ventures International, L.P.",SPTRD965702,2003-03-13,,,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
Dot Hill Systems Corp.,Dot Hill Systems Corp. (:HIL),,,SPTRD965702,2003-03-13,45224,Dot Hill Systems Corp.,Technology Hardware and Equipment,True
DoubleClick Inc.,Google LLC,SPTRD131874,2008-03-11,,,77501,DoubleClick Inc.,Media,False
DoubleClick Inc.,DoubleClick Inc. (:DCLK),,,SPTRD129918,2005-07-13,77501,DoubleClick Inc.,Media,False
DoubleClick Inc.,Hellman & Friedman LLC,,,SPTRD131874,2008-03-11,77501,DoubleClick Inc.,Media,False
"DoublePositive Marketing Group, Inc.","Output Services Group, Inc.",SPTRD277762,2015-03-25,,,1065788,"DoublePositive Marketing Group, Inc.",Support Services (Industrial Goods and Services),True
"DoublePositive Marketing Group, Inc.",Southern Capitol Ventures,,,SPTRD277762,2015-03-25,1065788,"DoublePositive Marketing Group, Inc.",Support Services (Industrial Goods and Services),True
"DoublePositive Marketing Group, Inc.","Outcome Capital, LLC",,,SPTRD277762,2015-03-25,1065788,"DoublePositive Marketing Group, Inc.",Support Services (Industrial Goods and Services),True
"DoublePositive Marketing Group, Inc.","Hamilton Investment Partners, LLC",,,SPTRD277762,2015-03-25,1065788,"DoublePositive Marketing Group, Inc.",Support Services (Industrial Goods and Services),True
"DoublePositive Marketing Group, Inc.",Slate Capital Group,,,SPTRD277762,2015-03-25,1065788,"DoublePositive Marketing Group, Inc.",Support Services (Industrial Goods and Services),True
Douglas Broadcasting Inc.,"Kelso & Company, L.P.",SPTRD1406588,1992-12-31,,,1077538,Douglas Broadcasting Inc.,Telecommunications,True
Douglas Broadcasting Inc.,Douglas Broadcasting Inc.,,,SPTRD1406588,1992-12-31,1077538,Douglas Broadcasting Inc.,Telecommunications,True
"Douglas Publications, LLC",BIA Digital Partners LP,SPTRD155717,2008-12-17,,,1071113,"Douglas Publications, LLC",Telecommunications,True
"Douglas Publications, LLC","Briefings Media Group, LLC",,,SPTRD155717,2008-12-17,1071113,"Douglas Publications, LLC",Telecommunications,True
DPL Inc.,The AES Corporation (NYSE:AES),SPTRD157617,2011-11-28,,,5391,DPL Inc.,Utilities,False
DPL Inc.,DPL LLC (:DPL),,,SPTRD157617,2011-11-28,5391,DPL Inc.,Utilities,False
Dr. Leonard's Healthcare Corp.,"AmeriMark Direct, LLC",SPTRD134508,2007-12-14,,,1324089,Dr. Leonard's Healthcare Corp.,Health Care Equipment and Services,True
"Drew Marine USA, Inc.","J.F. Lehman and Company, LLC",SPTRD1004744,2009-08-31,,,2199178,"Drew Marine USA, Inc.",Banks,True
"Drew Marine USA, Inc.",Ashland Inc. (NYSE:ASH),,,SPTRD1004744,2009-08-31,2199178,"Drew Marine USA, Inc.",Banks,True
"DriverSide, Inc.","Advance Auto Parts, Inc. (NYSE:AAP)",SPTRD581530,2011-11-30,,,1490369,"DriverSide, Inc.",Software and Computer Services,True
"DriverSide, Inc.",Hartford Ventures,,,SPTRD581530,2011-11-30,1490369,"DriverSide, Inc.",Software and Computer Services,True
"DriverSide, Inc.",Catamount Ventures Management LLC,,,SPTRD581530,2011-11-30,1490369,"DriverSide, Inc.",Software and Computer Services,True
"DriverSide, Inc.",AllegisCyber Capital,,,SPTRD581530,2011-11-30,1490369,"DriverSide, Inc.",Software and Computer Services,True
Drop.io Inc.,"Meta Platforms, Inc. (NASDAQGS:META)",SPTRD156183,2010-10-29,,,1485414,Drop.io Inc.,Software and Computer Services,True
Drop.io Inc.,"Drop.io, Inc.",,,SPTRD156183,2010-10-29,1485414,Drop.io Inc.,Software and Computer Services,True
"DSL.net, Inc.","MegaPath Networks, Inc.",SPTRD128366,2007-03-29,,,1055298,"DSL.net, Inc.",Telecommunications,True
"DSL.net, Inc.","DSL.net, Inc. (:DSLN)",,,SPTRD128366,2007-03-29,1055298,"DSL.net, Inc.",Telecommunications,True
"DTN, LLC","Pamlico Capital Management, LP",SPTRD755565,2000-04-26,,,1095208,"DTN, LLC",Support Services (Industrial Goods and Services),True
"DTN, LLC","Pamlico Capital Management, LP",SPTRD755565,2000-04-26,,,2647901,"DTN, LLC",Unspecified,True
"DTN, LLC",Veronis Suhler Stevenson,SPTRD755565,2000-04-26,,,1095208,"DTN, LLC",Support Services (Industrial Goods and Services),True
"DTN, LLC",Veronis Suhler Stevenson,SPTRD755565,2000-04-26,,,2647901,"DTN, LLC",Unspecified,True
"DTN, LLC","DTN, LLC (:DTLN)",,,SPTRD755565,2000-04-26,1095208,"DTN, LLC",Support Services (Industrial Goods and Services),True
"DTN, LLC","DTN, LLC (:DTLN)",,,SPTRD755565,2000-04-26,2647901,"DTN, LLC",Unspecified,True
DTZ Holdings plc,Ontario Teachers' Pension Plan Board,SPTRD386502,2014-11-05,,,1544937,DTZ Holdings plc,Financial Services,True
DTZ Holdings plc,PAG Asia Capital,SPTRD386502,2014-11-05,,,1544937,DTZ Holdings plc,Financial Services,True
DTZ Holdings plc,"TPG Capital, L.P.",SPTRD386502,2014-11-05,,,1544937,DTZ Holdings plc,Financial Services,True
DTZ Holdings plc,UGL Pty Limited (:UGL),,,SPTRD386502,2014-11-05,1544937,DTZ Holdings plc,Financial Services,True
"Duck Creek Technologies, Inc.","Vista Equity Partners Management, LLC",SPTRD2003360,2023-03-30,,,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Accenture Holdings B.V.,,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Virtus Investment Partners, Inc. (NYSE:VRTS)",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","The Vanguard Group, Inc.",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Kayne Anderson Rudnick Investment Management, LLC",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Virtus Equity Trust - Virtus KAR Small-Cap Growth Fund,,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Virtus Investment Advisers, LLC",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Echo Street Capital Management, LLC",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Temasek Holdings (Private) Limited,,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Disco (Guernsey) GP Co. Limited,,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Accenture plc (NYSE:ACN),,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Insight Venture Management, LLC",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.",Accenture LLP,,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duck Creek Technologies, Inc.","Dragoneer Investment Group, LLC",,,SPTRD2003360,2023-03-30,281436,"Duck Creek Technologies, Inc.",Software and Computer Services,False
"Duff & Phelps, LLC","Freeman Spogli Management Co., L.P.",SPTRD1408166,1989-03-01,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","FS Equity Partners II, L.P.",SPTRD1408166,1989-03-01,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Trident VIII, L.P.",SPTRD1701152,2020-04-09,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Further Global Capital Management, L.P.",SPTRD1701152,2020-04-09,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",Stone Point Capital LLC,SPTRD1701152,2020-04-09,SPTRD363927,2016-01-30,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Carlyle Global Financial Services Partners II, L.P.",SPTRD363927,2016-01-30,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Carlyle Global Financial Services Partners, L.P.",SPTRD363927,2016-01-30,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",The Carlyle Group Inc. (NASDAQGS:CG),SPTRD363927,2016-01-30,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",University of California,SPTRD363927,2016-01-30,,,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Kroll, LLC (:DUF)",,,SPTRD1408166,1989-03-01,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",Edmond de Rothschild Group,,,SPTRD363927,2016-01-30,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC","Trident V, L.P.",,,SPTRD363927,2016-01-30,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",Banque Pictet & Cie SA,,,SPTRD363927,2016-01-30,287409,"Duff & Phelps, LLC",Financial Services,False
"Duff & Phelps, LLC",Permira Holdings Limited,,,SPTRD1701152,2020-04-09,287409,"Duff & Phelps, LLC",Financial Services,False
"Dun & Bradstreet Holdings, Inc.","Clearlake Capital Group, L.P.",SPTRD2138055,,,,2051597,"Dun & Bradstreet Holdings, Inc.",Software and Computer Services | Financial Services,False
"Dun & Bradstreet Holdings, Inc.","Dun & Bradstreet Holdings, Inc. (NYSE:DNB)",,,SPTRD2138055,,2051597,"Dun & Bradstreet Holdings, Inc.",Software and Computer Services | Financial Services,False
Dune Energy Inc.,"Eos Petro, Inc. (:EOPT)",SPTRD322570,,,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Equity Group Investments,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Whitebox Advisors LLC,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"Highbridge Capital Management, LLC",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Sound Point Luna LLC,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"Strategic Value Partners, LLC",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"TPG Capital, L.P.",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,West Face Capital Inc.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"T.A. McKay & Co., Inc.",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Blue Mountain Credit Alternatives Master Fund L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,West Face Long Term Opportunities Global Master L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"Whitebox Credit Arbitrage Partners, L.P.",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Highbridge International LLC,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"Whitebox Multi-Strategy Partners, L.P.",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Strategic Value Special Situations Fund,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"TPG Opportunity Fund III, L.P",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,"TPG Opportunity Fund I, L.P",,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,AAI BlueMountain Fund PLC - BlueMountain Long/Short Credit & Distressed Reflecti,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,BlueMountain Strategic Credit Master Fund L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,BlueMountain Kicking Horse Fund L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Simplon Partners LP,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,Simplon International Limited,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,BlueMountain Timberline Ltd.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,BlueMountain Distressed Master Fund L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dune Energy Inc.,BlueMountain Long/Short Credit Master Fund L.P.,,,SPTRD322570,,18515,Dune Energy Inc.,Oil and Gas,False
Dunkin' Donuts LLC,Allied Domecq Limited (:ALLD),SPTRD838447,1990-01-02,,,1971,Dunkin' Donuts LLC,Retail,False
Dunkin' Donuts LLC,Kingsbridge Capital Group,,,SPTRD838447,1990-01-02,1971,Dunkin' Donuts LLC,Retail,False
Dunkin' Donuts LLC,Recipe Unlimited Corporation (:RECP),,,SPTRD838447,1990-01-02,1971,Dunkin' Donuts LLC,Retail,False
"Dynamic Precision Group, Inc.","Carlyle U.S. Equity Opportunity Fund, L.P.",SPTRD558296,2011-12-31,,,516169,"Dynamic Precision Group, Inc.",Utilities | Oil and Gas,True
"Dynamic Precision Group, Inc.",The Carlyle Group Inc. (NASDAQGS:CG),SPTRD558296,2011-12-31,,,516169,"Dynamic Precision Group, Inc.",Utilities | Oil and Gas,True
"Dynamic Precision Group, Inc.","AE Industrial Partners, LP",SPTRD558296,2011-12-31,,,516169,"Dynamic Precision Group, Inc.",Utilities | Oil and Gas,True
"Dynamic Precision Group, Inc.","Dynamic Precision Group, Inc.",,,SPTRD558296,2011-12-31,516169,"Dynamic Precision Group, Inc.",Utilities | Oil and Gas,True
Dynegy Inc.,Blackstone Inc. (NYSE:BX),SPTRD154030,,,,762,Dynegy Inc.,Utilities,False
Dynegy Inc.,Vistra Corp. (NYSE:VST),SPTRD967713,2018-04-09,,,762,Dynegy Inc.,Utilities,False
Dynegy Inc.,Dynegy Inc. (:DYN),,,SPTRD154030,,762,Dynegy Inc.,Utilities,False
"East Resources, Inc.",Shell plc (LSE:SHEL),SPTRD630448,2010-07-29,,,1731222,"East Resources, Inc.",Support Services (Industrial Goods and Services),True
"East Resources, Inc.",KKR & Co. Inc. (NYSE:KKR),,,SPTRD630448,2010-07-29,1731222,"East Resources, Inc.",Support Services (Industrial Goods and Services),True
"East West Bancorp, Inc.",Corsair Capital LLC,,,SPTRD868276,2010-01-13,11507,"East West Bancorp, Inc.",Financial Services,False
"Eastern Insurance Holdings, Inc.",ProAssurance Corporation (NYSE:PRA),SPTRD189990,2014-01-01,,,45286,"Eastern Insurance Holdings, Inc.",Financial Services,True
"Eastern Insurance Holdings, Inc.","Eastern Insurance Holdings, Inc. (:EIHI)",,,SPTRD189990,2014-01-01,45286,"Eastern Insurance Holdings, Inc.",Financial Services,True
"Eastern Virginia Bankshares, Inc.",Primis Financial Corp. (NASDAQGM:FRST),SPTRD218365,2017-06-23,,,43082,"Eastern Virginia Bankshares, Inc.",Banks | Financial Services,True
"Eastern Virginia Bankshares, Inc.","Eastern Virginia Bankshares, Inc. (:EVBS)",,,SPTRD218365,2017-06-23,43082,"Eastern Virginia Bankshares, Inc.",Banks | Financial Services,True
"eBags, Inc.",Samsonite LLC,SPTRD226904,2017-05-05,,,232522,"eBags, Inc.",Retail,True
"eBags, Inc.","Saints Capital Services, LLC",SPTRD294815,2015-12-03,SPTRD226904,2017-05-05,232522,"eBags, Inc.",Retail,True
"eBags, Inc.","Willowridge Partners, Inc.",SPTRD294815,2015-12-03,SPTRD226904,2017-05-05,232522,"eBags, Inc.",Retail,True
"eBags, Inc.",Benchmark,,,SPTRD294815,2015-12-03,232522,"eBags, Inc.",Retail,True
"eBags, Inc.",TCMI Inc.,,,SPTRD226904,2017-05-05,232522,"eBags, Inc.",Retail,True
"eBenX, Inc.","Carewise Health Holdings, Inc. (:SHPS)",SPTRD414006,2003-02-03,,,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","New Enterprise Associates, Inc.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","JMI Management, L.P.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","JMI Equity Fund III, L.P.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.",North Bridge Venture Partners,,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.",Trellis Health Ventures,,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.",DC Venture Partners,,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","New Enterprise Associates VI, L.P.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","North Bridge Venture Partners I, LP",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","CB Healthcare I, L.P.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","JMI Equity Fund I, L.P.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"eBenX, Inc.","CB Health Ventures, L.L.C.",,,SPTRD414006,2003-02-03,1292534,"eBenX, Inc.",Financial Services,True
"ecoATM, LLC",Cowen Sustainable Advisors LLC,SPTRD1704010,2020-02-10,,,1403409,"ecoATM, LLC",Software and Computer Services,True
