SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,reprisk_id,company_name_reprisk,sectors,no_reported_risk_exposure
"Concord Music Group, Inc.",4155284,"Concord Music Group, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Great Mountain Partners LLC;Wood Creek Capital Management, LLC;Firstminute Capital LLP]

Prior Sponsor-Backed [Lambert Media Group]",2228020,Concord Music Group Inc,Media,True
"Concordis Group, Inc.",4226164,"Concordis Group, Inc.",Operating,Private Company,Never Sponsor-Backed,89898,Concordis Group Inc,Financial Services,True
"Concuity, Inc.",4149118,"Concuity, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Versant Venture Management, LLC;Mobius Venture Capital, Inc.;Gabriel Venture Partners;SAIC Venture Capital Corporation;Three Arch Partners]",1327539,Concuity INC,Health Care Equipment and Services,True
Condaptive,4317982,Condaptive,Acquired,Private Company,"Prior Sponsor-Backed [Bullpen Management, LLC]",1669322,Condaptive,Support Services (Industrial Goods and Services),True
"Conifer Holdings, Inc. (NASDAQCM:CNFR)",4247047,"Conifer Holdings, Inc.",Operating,Public Company,Prior Sponsor-Backed [Strength Capital Partners LLC],331571,Conifer Holdings Inc,Insurance | Financial Services,True
"ConnectiCare, Inc.",4049430,"ConnectiCare, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [The Carlyle Group Inc. (NASDAQGS:CG) (NASDAQGS : CG);NaviMed Capital Advisors, LLC;Liberty Partners, L.P.;CB Health Ventures, L.L.C.]",1290879,ConnectiCare Inc.,Financial Services,True
"Connecture, Inc. (OTCPK:CNXR)",4564939,"Connecture, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Eir Partners Capital, LLC;Scientia Ventures]

Prior Sponsor-Backed [W Capital Management, LLC;Encubate Holdings LLC;Global Capital Private Equity (JSE:BRENMIL) (JSE : BRENMIL);Harbert Credit Solutions;Harbert Power, LLC;LiveOak Equity Partners;SSM Management Company, LLC;Advanced Technology Development Center;Atlanta Technology Angels;New Era Capital;Chrysalis Ventures;Francisco Partners Management, L.P.;Great Point Partners, LLC;TTV Capital LLC;Hauser Private Equity]",180134,Connecture Inc,Software and Computer Services | Insurance,True
"Connextions, Inc.",4295460,"Connextions, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [New Mountain Capital, L.L.C.]",193079,Connextions Inc,Software and Computer Services,True
"Consolidated Energy, Inc. (OTCPK:CEIW)",4107092,"Consolidated Energy, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Gamma Capital Advisors, Ltd.;Gryphon Management Partners, L.P.;BFS Investments PLC;Enable Global Capital, LLC;Whalehaven Capital Fund Limited;Newgrange Partners L.P.;Lonestar Capital Management LLC;WS Ventures Management, L.P.;Bushido Capital Partners LLC]

Prior Sponsor-Backed [Iroquois Capital Management, LLC;RENN Capital Group, Inc.]",57737,Consolidated Energy Inc,Mining,True
"Consolidated Pictures Group, Inc. (OTCPK:CPGU)",4153225,"Consolidated Pictures Group, Inc.",Operating,Private Company,Never Sponsor-Backed,50528,Consolidated Pictures Group Inc,Media,True
"Constant Contact, Inc. (NASDAQGM:CTCT)",4168642,"Constant Contact, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [SV Health Investors, LLC;Clearlake Capital Group, L.P.]

Prior Sponsor-Backed [Morgan Stanley Venture Partners;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Hudson Venture Partners, L.P.;Patricia Industries;Commonwealth Venture Management Corp.;RGM Capital, LLC;Greylock Partners;Longworth Venture Partners;PeakSpan Capital, LLC.;Saturn Partners;Institutional Venture Partners;Morgan Stanley Private Equity;Siris Capital Group, LLC]",34576,Constant Contact Inc,Media,False
"Consumer Capital Group, Inc. (OTCPK:CCGN)",4503830,"Consumer Capital Group, Inc.",Operating,Private Company,Never Sponsor-Backed,98020,Consumer Capital Group Inc,Software and Computer Services | Financial Services,True
"Consumer Portfolio Services, Inc. (NASDAQGM:CPSS)",103151,"Consumer Portfolio Services, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Black Diamond Capital Management, L.L.C.]

Prior Sponsor-Backed [EJF Capital LLC;Stanwich Consulting Corp;Levine Leichtman Capital Partners, LLC]",49017,Consumer Portfolio Services Inc,Financial Services,False
"ConsumerInfo.com, Inc.",4238125,"ConsumerInfo.com, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Montgomery and Company],2602782,ConsumerInfo.com Inc,Support Services (Industrial Goods and Services),False
"Consumers Bancorp, Inc. (OTCQX:CBKM)",1024545,"Consumers Bancorp, Inc.",Operating,Public Company,Prior Sponsor-Backed [Wellington Management Group LLP (NASDAQGM : );1st & Main Growth Partners],44026,Consumers Bancorp Inc,Banks,True
"Contactual, Inc.",4302962,"Contactual, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Leapfrog Ventures;Mayfield Fund, L.L.C.;Sofinnova Investment, Inc.;NVP Associates, LLC]",1070173,Contactual INC,Support Services (Industrial Goods and Services),True
"Container Technology, Inc.",4326962,"Container Technology, Inc.",Operating,Private Company,Never Sponsor-Backed,2645990,Container Technology Inc,Retail,True
"Contango Ore, Inc. (NYSEAM:CTGO)",4358344,"Contango Ore, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Alaska Permanent Fund;Hexagon, LLC;Raging Capital Management, LLC]",80353,Contango Ore Inc,Oil and Gas,True
"ContentNext Media, Inc.",4210911,"ContentNext Media, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Greycroft LP],1083103,Contentnext Media INC,Telecommunications,True
Continental Alloys & Services Inc.,4296514,Continental Alloys & Services Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [EdgeStone Partners, Inc.;Canada Pension Plan Investment Board]",2242843,Continental Alloys & Services Inc.,Industrial Metals,True
"Continental Bank Holdings, Inc.",4110014,"Continental Bank Holdings, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Castle Creek Advisors VIII LLC;GCP Capital Partners LLC],1260669,Continental Bank Holdings Inc,Financial Services,True
"Continental Group, Inc.",4314574,"Continental Group, Inc.",Operating,Private Company,Never Sponsor-Backed,24150,Continental Group Inc.,Financial Services,False
"Continental Resources, Inc. (NYSE:CLR)",4120318,"Continental Resources, Inc.",Operating,Private Company,"Prior Sponsor-Backed [Miller Howard Investments, Inc.]",6559,Continental Resources Inc,Oil and Gas,False
Cooperative Bankshares Inc. (OTCPK:COOP.Q),102071,Cooperative Bankshares Inc.,Out of Business,Public Company,Never Sponsor-Backed,59178,Cooperative Bankshares Inc,Banks,True
Coral Mortgage Bankers Corp.,4217181,Coral Mortgage Bankers Corp.,Operating,Private Company,Never Sponsor-Backed,72395,Coral Mortgage Bankers Corp,Financial Services,False
Core Financial Partners Inc.,4283125,Core Financial Partners Inc.,Operating,Private Company,Never Sponsor-Backed,2121873,Core Financial Partners Inc,Financial Services,True
"Core Media Group, Inc. (NASDAQGM:CKXE)",4121955,"Core Media Group, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Crestview Advisors, L.L.C.;W.R. Huff Asset Management Co., L.L.C.;Capital Research Global Investors;Apollo Global Management, Inc. (NYSE:APO) (NYSE : APO)]",182821,CORE Media Group Inc,Media,True
"Corio, Inc. (NASDAQGM:CRIO)",4155653,"Corio, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Integral Capital Partners;Tenaya Capital Inc.;NVP Associates, LLC;Dell Ventures;Comdisco Ventures;Sun Microsystems Venture & Strategic Investments;Kleiner Perkins Caufield & Byers;Greylock Partners;Focus Ventures;Amerindo Investment Advisors, Inc. Private Equity Group]",1390949,"Corio, Inc.",Software and Computer Services,True
"Cornerstone Advisors, Inc.",4118378,"Cornerstone Advisors, Inc.",Operating,Private Company,Never Sponsor-Backed,616704,Cornerstone Advisors Inc,Industrial Transportation | Financial Services,False
Cornerstone Bancorp Inc. (OTCPK:CNBP),4064737,Cornerstone Bancorp Inc.,Operating,Public Company,Never Sponsor-Backed,49909,Cornerstone Bancorp Inc,Banks,True
"Cornerstone Brands, Inc.",4067700,"Cornerstone Brands, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Boston Capital Ventures;Madison Dearborn Partners, LLC;J.P. Morgan Partners, LLC;Black Point Group]",1115353,Cornerstone Brands Inc,Personal and Household Goods | Retail,True
Cornerstone Community Bancorp (OTCPK:CRSB),4578112,Cornerstone Community Bancorp,Operating,Public Company,"Pending or Current Sponsor-Backed [TCW Group, Inc.]",174868,Cornerstone Community Bancorp,Banks,False
"Cornerstone OnDemand, Inc. (NASDAQGM:CSOD)",4966140,"Cornerstone OnDemand, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Clearlake Capital Group, L.P.]

Prior Sponsor-Backed [Bay Partners;Bessemer Venture Partners;Eaton Vance Management;Silver Lake Technology Management, L.L.C.;Blue Owl Credit Advisors LLC;RGM Capital, LLC;Ironwood Capital;Lead Edge Capital Management, LLC;Berkus Technology Ventures, LLC;Dover Madison Capital Management LLC;Praesidium Investment Management Company, LLC;Meritech Sub-Management Corporation;Vector Capital Management, L.P.;Rosetta Capital Partners;Accelerator Ventures;ff Venture Capital, LLC;OpenDoor Venture Capital]",71396,Cornerstone OnDemand Inc,Software and Computer Services,True
"Coronado, Inc.",1017105,"Coronado, Inc.",Operating,Private Company,Never Sponsor-Backed,2502914,Coronado Inc,Financial Services,True
"Corporate Visions, Inc.",4292262,"Corporate Visions, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [The Riverside Company]

Prior Sponsor-Backed [Sentinel Capital Partners, L.L.C.;Hammond, Kennedy, Whitney & Company, Inc.;Capitala Group;Capitala Investment Advisors, LLC;GMB Mezzanine Capital;Brookside Capital Partners]",204121,Corporate Visions Inc,Support Services (Industrial Goods and Services) | Software and Computer Services,True
Corridor Communications Corp. (OTCPK:CORR),4153902,Corridor Communications Corp.,Operating,Private Company,"Pending or Current Sponsor-Backed [Alpha Capital Anstalt]

Prior Sponsor-Backed [Stonestreet Limited Partnership]",59174,Corridor Communications Corp,Media,True
"Cortera, Inc.",4149765,"Cortera, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [JPMC Strategic Investments I Corporation;Trident Capital, Inc.;North Hill Ventures, LP;Mitsui & Co. Global Investment, Inc.;Volition Capital LLC;ABN AMRO Private Equity (US);TomorrowVentures, LLC;Wells Fargo Equity Capital, Inc.;JPMP Capital, LLC;J.P. Morgan Partners, LLC;Battery Ventures L.P.;CIBC Capital Partners;Vortex Partners, LP;Eastman Ventures;Bain Capital Private Equity, LP;Court Square Capital Management, L.P.;Apex Venture Partners;Draper Richards, L.P.;Mellon Ventures, Inc.;EFO Holdings, L.P.;Sterling Partners;Hearst Ventures;FTV Management Company, L.P.;Garvin Hill Capital Partners LLC;Tribeca Venture Partners, LLC]",204122,Cortera Inc,Software and Computer Services,True
Cortez Community Bank (OTCPK:COTZ),4087700,Cortez Community Bank,Out of Business,Public Company,"Prior Sponsor-Backed [Trade Street Investment Adviser, LLLP]",91567,Cortez Community Bank,Banks,True
Cortland Bancorp (NASDAQGM:CLDB),100699,Cortland Bancorp,Acquired,Private Company,Prior Sponsor-Backed [Ancora Advisors LLC],55338,Cortland Bancorp,Banks | Financial Services,True
"Corus Bankshares, Inc. (OTCPK:CORS.Q)",100418,"Corus Bankshares, Inc.",Out of Business,Private Company,Never Sponsor-Backed,13854,Corus Bankshares Inc,Banks,True
"Costar Realty Information, Inc.",4234352,"Costar Realty Information, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Horowitz Group],2460942,CoStar Realty Information Inc,Financial Services,True
"Cotiviti Holdings, Inc. (NYSE:COTV)",4690141,"Cotiviti Holdings, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Advent International, L.P.]",201009,Cotiviti Holdings Inc,Health Care Equipment and Services,False
Coty Inc. (NYSE:COTY),4067766,Coty Inc.,Operating Subsidiary,Public Company,"Pending or Current Sponsor-Backed [BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Templeton Global Advisors Limited;Millennium Management LLC;Tresalia Capital, S.A. de C.V.;Jab Holding Company S.à.R.L.;KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR)]

Prior Sponsor-Backed [Rhone Capital, L.L.C.;Fisher Lynch Capital, LLC;Berkshire Partners LLC]",15638,Coty Inc,Personal and Household Goods,False
"Coventry Health Care, Inc. (NYSE:CVH)",111588,"Coventry Health Care, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [William Blair Capital Partners, L.L.C.;Wind Point Advisors, LLC;TA Associates Management, L.P.;Coleman Swenson Booth, Inc.;Warburg Pincus LLC;Prudential Equity Investors;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK)]",9001,Coventry Health Care Inc,Insurance,False
Cover-All Technologies Inc. (NYSEAM:COVR),4090547,Cover-All Technologies Inc.,Acquired,Private Company,"Prior Sponsor-Backed [Premier Asset Management Limited (AIM:PAM) (AIM : PAM);RENN Capital Group, Inc.;Premier Fund Managers Ltd.;Tandem Capital, Inc.;Paradigm Group, LLC]",46888,Cover-All Technologies Inc,Software and Computer Services,True
"Coverity, Inc.",4236164,"Coverity, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Benchmark;Foundation Capital, LLC]",1313689,Coverity Inc,Software and Computer Services,True
"Covista Communications, Inc. (OTCEM:CVST)",4121472,"Covista Communications, Inc.",Operating,Public Company,Prior Sponsor-Backed [Gold & Appel Transfer SA],54445,Covista Communications Inc,Telecommunications,True
Cozad Asset Management Inc,110071,Cozad Asset Management Inc,Operating,Private Company,Never Sponsor-Backed,103200,Cozad Asset Management Inc,Financial Services,False
"CP Energy Services, Inc.",4403128,"CP Energy Services, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Prospect Capital Management L.P.]

Prior Sponsor-Backed [Hastings Equity Partners, LLC]",1231023,CP Energy Services INC,Utilities,True
"CPC Associates, Inc.",4144135,"CPC Associates, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Atrium Capital Corporation;Kinderhook Industries, LLC]",1027428,CPC Associates INC,Support Services (Industrial Goods and Services),True
CPI Card Group Inc. (NASDAQGM:PMTS),4330650,CPI Card Group Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Parallel49 Equity, ULC;Pantheon Ventures (UK) LLP]

Prior Sponsor-Backed [Steamboat Capital Partners, LLC;McKenna Gale Capital, Inc.]",180752,CPI Card Group Inc,Financial Services,True
"CPMG, Inc.",4134934,"CPMG, Inc.",Operating,Private Company,Never Sponsor-Backed,1747894,CPMG Inc,Financial Services,False
"CPower, Inc.",4271299,"CPower, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [H.I.G. Capital, LLC]",1414959,Cpower INC,Automobiles and Parts,True
"CQG, Inc.",4072838,"CQG, Inc.",Operating,Private Company,Never Sponsor-Backed,636738,CQG Inc,Telecommunications | Software and Computer Services,True
"Crackle, Inc.",4149980,"Crackle, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [DAG Ventures, LLC;Archer Martin Ventures;Deutsche Telekom Strategic Investments GmbH]",1315759,Crackle Inc,Software and Computer Services,True
"Craig Court, Inc.",4252245,"Craig Court, Inc.",Operating,Private Company,Never Sponsor-Backed,502636,Craig Court Inc,Unspecified,True
"Cramster, Inc.",4276868,"Cramster, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Primera Capital;Launchpad LA, Inc.;Canaan Partners Israel;RezVen Partners LLC]",1485654,Cramster INC,Software and Computer Services,True
Crashlytics Inc.,4375240,Crashlytics Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Flybridge Capital Partners;Baseline Ventures Associates, LLC;Converge]",1311069,Crashlytics Inc,Software and Computer Services,False
"CRB Group, Inc.",4306839,"CRB Group, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Battery Ventures L.P.;Andreessen Horowitz LLC;Hanaco Venture Capital Ltd.;Eldridge Industries LLC;Ribbit Management Company, LLC;T.Rowe Price Investment Management, Inc.]",572474,CRB Group Inc,Banks,True
Credible Labs Inc. (ASX:CRD),5274361,Credible Labs Inc.,Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Thorney Management Services Pty Ltd;Marathon Venture Partners;Regal Partners Limited (ASX:RPL) (ASX : RPL);Dorm Room Fund;Redbus Ventures]

Prior Sponsor-Backed [Carthona Capital;Cap-Meridian Ventures;Recursive Ventures;Redbus Limited;Seraph Group;Cthulhu Ventures LLC]",2246483,Credible Labs Inc.,Financial Services,True
"Credit Suisse (USA), Inc.",4057674,"Credit Suisse (USA), Inc.",Operating,Private Company,Never Sponsor-Backed,12198,Credit Suisse (USA) Inc,Banks,False
"CreditCards.com, Inc. (NASDAQGM:CCRD)",4183611,"CreditCards.com, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [American Capital, Ltd. (NASDAQGM:ACAS) (NASDAQGM : ACAS);Austin Ventures]",95540,CreditCards.com Inc,Financial Services,True
"Creditex Group, Inc.",4109676,"Creditex Group, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Credit Suisse Private Equity, LLC;Cowen Capital Partners, LLC;TA Associates Management, L.P.;BMO Capital Partners;Allianz Specialized Investments Ltd;Thomson Financial Ventures;J.P. Morgan Partners, LLC;JPMC Strategic Investments I Corporation;New York City Investment Fund Manager, Inc.;WestLB AG - Private Equity Investments;JPMP Capital, LLC;CIBC Capital Partners;SG Partners]",2461073,Creditex Group Inc,Financial Services,True
CRIIMI MAE Inc. (NYSE:CMM),102934,CRIIMI MAE Inc.,Operating,Private Company,"Pending or Current Sponsor-Backed [CDP Capital-Financing Inc.]

Prior Sponsor-Backed [Brascan Asset Management Inc.]",2420862,Criimi Mae Inc,Financial Services,True
Crimson Exploration Inc. (NASDAQGM:GFW),4010640,Crimson Exploration Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [American Energy Capital Corporation;Oaktree Capital Management, L.P.]",6030,Crimson Exploration Inc,Oil and Gas,False
"Crispy Gamer, Inc.",4254284,"Crispy Gamer, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Highbridge Principal Strategies Growth Equity],1318609,Crispy Gamer INC,Software and Computer Services,True
"Criterion Wealth Management Insurance Services, Inc.",4158348,"Criterion Wealth Management Insurance Services, Inc.",Operating,Private Company,Never Sponsor-Backed,995160,Criterion Wealth Management Insurance Services Inc,Financial Services,False
"Croft Leominster, Inc.",111422,"Croft Leominster, Inc.",Operating,Private Company,Never Sponsor-Backed,121633,Croft Leominster Inc,Financial Services,False
"Croghan Bancshares, Inc. (OTCQB:CHBH)",1017886,"Croghan Bancshares, Inc.",Operating,Public Company,Never Sponsor-Backed,45821,Croghan Bancshares Inc,Financial Services,True
"Crosby Benefit Systems, Inc.",4193722,"Crosby Benefit Systems, Inc.",Out of Business,Private Company,Never Sponsor-Backed,1251364,Crosby Benefit Systems INC,Financial Services,True
Cross Financial Corp.,4335798,Cross Financial Corp.,Operating,Private Company,Never Sponsor-Backed,1721757,Cross Financial Corp,Insurance,True
Cross Media Marketing Corp. (OTCPK:CMKC),4152021,Cross Media Marketing Corp.,Operating,Private Company,"Pending or Current Sponsor-Backed [Luther King Capital Management Corporation;Putnam Investment Management, LLC;MicroCapital LLC]

Prior Sponsor-Backed [Orbit Capital Corp.]",1790437,Cross Media Marketing Corp,Media,True
"CrossFirst Bankshares, Inc. (NASDAQGM:CFB)",4227418,"CrossFirst Bankshares, Inc.",Acquired,Public Company,Prior Sponsor-Backed [Luther King Capital Management Corporation],591269,CrossFirst Bankshares Inc,Banks,True
CrossLand Mortgage Corp.,103815,CrossLand Mortgage Corp.,Acquired,Private Company,"Prior Sponsor-Backed [Cornerstone Equity Investors, LLC;Kohlberg & Company, L.L.C.;Prudential Equity Investors;First Security Business Investment Corp.]",1255014,Crossland Mortgage Corp,Financial Services,True
"Crowd Supply, Inc.",5252501,"Crowd Supply, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Bialla Venture Partners, LP;Seven Peaks Ventures LLP;Rogue Venture Partners;Inspiration Venture Partners, LLC;Portland Seed Fund;SOSV Investments LLC]",1256354,Crowd Supply INC,Financial Services,True
"Crowdera, Inc.",5281392,"Crowdera, Inc.",Operating,Private Company,Never Sponsor-Backed,1648852,"Crowdera, Inc.",Software and Computer Services,True
"CrowdRise, Inc.",5218885,"CrowdRise, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Connect Ventures, LLC;High Line Venture Partners]

Prior Sponsor-Backed [Spark Capital Partners, LLC;Bezos Expeditions, LLC;CAA Ventures;Innovation Endeavors LLC;UTA Ventures;Index Ventures SA;Lightbank LLC;Union Square Ventures, LLC;Lowercase Capital]",204387,CrowdRise Inc,Software and Computer Services,True
"CrowdStreet, Inc.",5258988,"CrowdStreet, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Grotech Management Company;Green Visor Capital Management Company, LLC;Portland Seed Fund;Rogue Venture Partners;Rally Ventures;TIAA Ventures;Teachers Insurance and Annuity Association-College Retirement Equities Fund;Seven Peaks Ventures LLP;Cypress Equity Investments LLC;FoundersPad]",1321094,Crowdstreet INC,Software and Computer Services,True
"Crown Acquisitions, Inc.",4545782,"Crown Acquisitions, Inc.",Operating,Private Company,Never Sponsor-Backed,600585,Crown Acquisitions Inc,Financial Services,True
"Crown Bankshares, Inc.",4055709,"Crown Bankshares, Inc.",Operating,Private Company,Never Sponsor-Backed,401553,Crown Bankshares Inc,Banks,False
"Crown Financial Holdings, Inc. (OTCPK:CFGI)",103132,"Crown Financial Holdings, Inc.",Out of Business,Private Company,Never Sponsor-Backed,57783,Crown Financial Holdings Inc,Financial Services,True
"Crown Holdings, Inc. (NYSE:CCK)",4419522,"Crown Holdings, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [T. Rowe Price Associates, Inc.;Fidelity Management & Research Company LLC;The Vanguard Group, Inc.;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Icahn Capital LP;J.P. Morgan Investment Management Inc.]

Prior Sponsor-Backed [Lazard Asset Management LLC;WILsquare Capital LLC]",4516,Crown Holdings Inc,General Industrials | Financial Services,False
"Crown Media Holdings, Inc. (NASDAQGM:CRWN)",4121682,"Crown Media Holdings, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [CCMP Capital Advisors, LP;Merrill Lynch Investment Managers LP;J.P. Morgan Partners, LLC;BlackRock Financial Management, Inc;GoldPoint Partners LLC;Manulife Investment Management Private Markets (US) LLC;TD Capital Mezzanine Partners;Farallon Capital Management, L.L.C.;Credit Suisse Private Equity, LLC]",14605,Crown Media Holdings Inc,Media,False
"CruiseWise, Inc.",4388124,"CruiseWise, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [New Enterprise Associates, Inc.;SV Angel;FJ Labs, Inc.;Index Ventures SA;PROfounders Capital;BoxGroup Services, LLC]",1195983,Cruisewise INC,Personal and Household Goods,True
"Crump Life Insurance Services, Inc.",4050764,"Crump Life Insurance Services, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [J.C. Flowers & Co. LLC],1286574,Crump Life Insurance Services Inc,Insurance,True
"Crunchyroll, Inc.",4422344,"Crunchyroll, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [The Chernin Group, LLC;TCG Capital Management, L.P.;VR Adviser, LLC;Venrock Management Vi, LLC]",1485274,Crunchyroll Inc,Software and Computer Services,False
"Crystal River Capital, Inc. (NASDAQGM:CRZ)",4110950,"Crystal River Capital, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Private Management Group Inc],48186,Crystal River Capital Inc,Financial Services,True
"CSB Bancorp, Inc. (OTCPK:CSBB)",1023643,"CSB Bancorp, Inc.",Operating,Public Company,Never Sponsor-Backed,44450,CSB Bancorp Inc,Banks,True
"CSG Systems International, Inc. (NASDAQGS:CSGS)",4090254,"CSG Systems International, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [The Vanguard Group, Inc.]

Prior Sponsor-Backed [Kleiner Perkins Caufield & Byers;Trident Capital, Inc.;Mercury Partners;Morgan Stanley Venture Partners;Metalmark Capital LLC;Morgan Stanley Private Equity;Partech Partners SAS;Hamilton Companies, The]",12829,CSG Systems International Inc,Software and Computer Services,True
"CSI Leasing, Inc.",105171,"CSI Leasing, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Charlesbank Capital Partners, LLC;Aquiline Capital Partners LP]",1257819,CSI Leasing Inc,Financial Services,True
"CSMG Technologies, Inc. (OTCPK:CTGI)",4209796,"CSMG Technologies, Inc.",Operating,Private Company,"Prior Sponsor-Backed [La Jolla Cove Investors, Inc.]",51442,CSMG Technologies Inc,Support Services (Industrial Goods and Services) | Health Care Equipment and Services,True
"CSTV Networks, Inc.",4147913,"CSTV Networks, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [CCMP Capital Advisors, LP;Weston Presidio Service Company, LLC;Court Square Ventures, LLC;JP Morgan Asset Management;Trautman Wasserman & Co., Inc.;GreyLion Partners LP;J.P. Morgan Partners, LLC;Chilton Investment Company, Inc.;TowerBrook Capital Partners L.P.;New York City Investment Fund Manager, Inc.;Ackerley Partners, LLC;Athlon Ventures;Spark Capital Partners, LLC;CSI Capital Management, Inc.;Highbridge Principal Strategies Growth Equity]",1054618,CSTV Networks Inc,Telecommunications,True
CTB International Corp. (NASDAQGM:CTBC),4087562,CTB International Corp.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Wynnefield Capital, Inc.;American Securities LLC;J.P. Morgan Partners, LLC]",1425329,CTB International Corp,Automobiles and Parts,True
"CTI Towers, Inc.",4414528,"CTI Towers, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Palistar Capital LP]

Prior Sponsor-Backed [Comcast Ventures]",1055498,CTI Towers Inc,Telecommunications,True
CU Bancorp (NASDAQGM:CUNB),4308300,CU Bancorp,Acquired,Public Company,"Prior Sponsor-Backed [Basswood Capital Management, L.L.C.;1st & Main Growth Partners;Triumph Investment Funds]",117951,CU Bancorp,Banks,True
"Cue, Inc.",4413847,"Cue, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Sequoia Capital Operations LLC;Index Ventures SA;SV Angel;SKT Ventures;Founder Collective Management Co, LLC;Lerer Hippeau Ventures Management, LLC;Y Combinator Management, LLC]",230614,Cue Inc,Support Services (Industrial Goods and Services) | Pharmaceuticals and Biotechnology,True
"Cullen/Frost Bankers, Inc. (NYSE:CFR)",100196,"Cullen/Frost Bankers, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC],8218,Cullen/Frost Bankers Inc,Banks | Financial Services,False
"Cullman Bancorp, Inc. (OTCQX:CULL)",4236088,"Cullman Bancorp, Inc.",Operating,Public Company,Never Sponsor-Backed,43755,Cullman Bancorp Inc,Financial Services,True
Culp Industries Inc,4168139,Culp Industries Inc,Operating,Private Company,Never Sponsor-Backed,2532565,Culp Industries Inc,Support Services (Industrial Goods and Services),False
CuriosityStream Inc. (NASDAQCM:CURI),11269319,CuriosityStream Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Manatuck Hill Partners, LLC;Blum Capital Partners, L.P.;Columbus Capital Management, LLC;Ross Creek Capital Management;TimesSquare Capital Management, LLC;Magnetar Financial LLC;L1 Capital Pty. Limited]",1078283,CuriosityStream Inc,Media,True
